,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Faya,SA,18.3851,42.4509,75.72,42,92,10.38,overcast clouds
214,Kenora,CA,49.8167,-94.4337,57.78,58,77,4.0,broken clouds
215,Pierre,US,44.3683,-100.351,72.28,73,20,5.01,few clouds
216,Valencia,ES,39.3333,-0.8333,84.88,45,0,11.32,clear sky
217,Bozuyuk,TR,39.9078,30.0367,80.94,49,0,13.35,clear sky
218,Pasighat,IN,28.0667,95.3333,80.94,86,9,3.13,clear sky
219,Pontes E Lacerda,BR,-15.2261,-59.3353,91.13,31,8,8.7,clear sky
220,Changping,CN,40.2186,116.2197,82.04,68,100,1.39,overcast clouds
221,Laguna,US,38.421,-121.4238,64.94,79,100,14.97,overcast clouds
222,Zhovkva,UA,50.0583,23.9726,69.58,87,100,12.93,overcast clouds
223,Mumford,GH,5.2618,-0.759,79.32,71,25,10.27,scattered clouds
224,Souillac,MU,-20.5167,57.5167,69.8,69,100,21.34,overcast clouds
225,Bhim Tal,IN,29.35,79.5667,70.7,78,98,2.3,overcast clouds
226,Svetlogorsk,BY,52.6333,29.7333,79.0,48,53,5.46,broken clouds
227,Atar,MR,20.5169,-13.0499,106.63,9,18,6.38,few clouds
228,Adrasmon,TJ,40.6472,69.9856,76.21,17,1,6.87,clear sky
229,Zunyi,CN,27.6867,106.9072,71.8,89,87,3.71,overcast clouds
230,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,80,40,6.91,scattered clouds
231,Chapleau,CA,47.8405,-83.4034,59.41,49,7,10.98,clear sky
232,Sombrerete,MX,23.6333,-103.65,62.8,62,100,1.34,overcast clouds
233,Maceio,BR,-9.6658,-35.7353,76.44,83,100,6.91,overcast clouds
234,Iskenderun,TR,36.5872,36.1735,88.63,70,0,7.67,clear sky
235,Dwarka,IN,22.2394,68.9678,84.6,78,100,9.84,heavy intensity rain
236,Kenai,US,60.5544,-151.2583,57.02,89,0,4.61,clear sky
237,Lokomotivnyy,RU,53.0118,60.5684,64.63,65,79,7.0,broken clouds
238,Opuwo,NA,-18.0607,13.84,78.78,15,0,8.03,clear sky
239,Grand-Santi,GF,4.25,-54.3833,86.45,59,48,4.65,scattered clouds
240,Fomboni,KM,-12.28,43.7425,77.11,71,22,18.79,light rain
241,Yarada,IN,17.65,83.2667,84.33,76,100,2.77,overcast clouds
242,Sardarshahr,IN,28.4333,74.4833,92.77,55,60,5.32,broken clouds
243,Hanmer Springs,NZ,-42.5167,172.8167,40.93,84,23,7.14,few clouds
244,Berlevag,NO,70.8578,29.0864,84.2,68,12,9.22,few clouds
245,Samarai,PG,-10.6167,150.6667,80.42,86,91,10.33,overcast clouds
